"VisitID","D16","D50","D84","D16_cm.org","D50_cm.org","D84_cm.org"
579,0.00296060206519208,6.03129694265935,75.6077131410439,0.02,6,79
580,31.5523186968743,56.846082401059,117.69657083056,32,57,120
581,10.4251217830363,38.1225630286728,75.0370624352011,11,38,76
582,22.2457524584528,59.282454723778,181.961369238546,23,60,187
583,2.51402674904366,25.5744939581939,84.2657563533391,3,26,85
584,10.0480634374381,36.586208325372,87.3796745919103,10,37,88
585,19.5289826134671,185.517123448677,391.852482625614,20,187,397
586,16.3678191699846,48.8882911760076,106.203105387502,17,49,108
587,11.7581862102074,56.3060994424343,242.574386675958,12,57,248
590,39.2633633964742,119.293416742123,287.755159650335,40,120,294
593,0.0317781907596376,22.5,125.54423056626,0.05,25,131
595,12.6622306427757,74.7276158415496,187.550708367886,13,76,193
600,6.36875222674077,43.0427498557573,135.703834236659,7,44,139
601,0.0266771409007807,31.5338018383876,90.7489782119244,0.04,32,93
603,3.62289465705562,46.796017880516,104.664642020214,4,47,106
604,5.05333164870075,23.2321097605555,115.164793070325,5,24,119
606,0.104643275963638,6.38184961588282,15.453107604807,0.11,6,16
607,1.36145905545269,25.5160681780705,106.203105387502,2,26,108
608,0.135984567486054,8,60.8037215631683,0.14,8,63
609,7.89225995765312,34.4252945206636,83.5237074557403,8,35,85
611,0.27771741503194,5.21700363818106,31.0710790720429,0.29,5,32
612,15.7789580330501,51.6781398815893,211.446493230147,16,52,217
615,0.0474408148470293,25.147107125043,82.9292047875625,0.05,26,85
619,20.4514925439264,104.152102577478,234.225347539576,22,105,236
656,16.685647479926,48.4427689309144,92.0400407679275,17,49,94
657,23.6743365908395,57.0911650677578,159.544246191874,24,58,164
658,22.1197080888807,50.8490515915168,106.305173277909,23,51,108
659,17.7230614503193,42.4554593679509,73.1427245548936,18,43,74
660,0.234091976203589,29.7359458648781,48.3788816793172,0.28,30,49
661,4.80887757383961,71.7024759449147,192.382852003201,5,73,196
662,38.1028969748999,89.1517066192166,216.33237556459,41,90,220
663,34.5339542856469,61.7850251739687,103.222837024632,35,62,104
664,16.3412682293162,28.4551464359205,56.6968809298438,16,29,58
665,0.639873911020277,26.8328157299975,120.831156076473,0.71,28,123
666,8.83934298038935,39.519163048542,176.957664711046,9,40,182
667,5.54076417926952,39.469841714655,156.385581468891,6,41,160
669,22.2818968779287,66.786362581634,134.71605296002,23,67,138
670,0.0042156890316876,23.720707438658,63.6034316610843,0.02,24,65
671,6.52771084155775,31.1446353651656,113.001191349491,7,32,116
672,5.04822067041365,41.1385223871073,209.825535773068,5,42,214
673,2.91370969498798,14.3995798104187,35.6600220375546,3,15,36
674,4.80887757383961,25.6770611688185,60.2724508017761,5,26,61
676,8.7515904496798,48.9931872994921,114.71496927585,9,50,117
679,7.64647552585005,42.5143383486308,134.71605296002,9,43,138
680,8.28111532227496,39.8024679220989,103.616637210397,9,40,106
681,6.49093593464976,19.2529280404967,42.837656405065,7,19,44
682,0.354603606261609,17.2890272533245,54.140271632895,0.44,18,55
683,4.66351200641714,53.1125558691132,190.137352903269,5,54,198
684,21.9943778863448,121.538747062306,506.51718282404,26,124,514
685,18.5310815454004,42.3937241965522,77.3991255994792,19,43,78
686,3.66467233596771,31.4917584729117,59.8571667826983,4,32,60
687,3.73213196614723,43.5623519962427,93.3693491273316,4,44,95
688,15.7789580330501,57.0658926190061,106.390304781927,16,58,108
689,10.0134211814631,71.9840074373643,371.847560152414,11,73,376
691,0.586168444063952,10.7560180196084,39.7766292277826,0.67,11,40
692,32.3463765047334,88.9830098338112,306.537520386152,33,90,312
693,7.47561558438431,274.368144584646,607.921395168161,8,277,604
694,21.0647880934519,306.183707853423,800.000000799999,22,310,787
695,1.63002926701751,8.61450585525828,47.2746103765763,2,9,49
696,9.09494307388226,71.2748913787885,313.173737715349,10,73,323
697,20.5446702625768,72.4470816964087,342.891692107179,21,74,348
699,3.33679149115724,56.2112886007454,275.274967916063,4,57,280
700,16.7440940238322,51.003613267757,92.246571035371,17,51,94
701,0.192463139453766,3.70349884914916,26.5975761954817,0.2,4,27
703,6.26751082088072,200.061141827699,486.836886093513,7,207,491
704,2.29739670999407,32,296.61227679438,2,33,310
705,9.7573829344063,43.5395445065232,82.767803365864,10,44,84
706,13.8477639208187,25.2566046415903,39.3203661156127,14,25,40
707,9.05911622088983,22.5,50.946614908799,9,23,52
708,9.37744826788505,25.3755409611789,48.1366490124263,10,26,49
709,15.7620818316134,58.2380127463164,151.996464962898,16,59,155
711,28.0307174211501,51.605959760633,81.1997223411095,28,52,82
712,19.6316816982371,46.2358920923698,96.8930963142672,21,47,99
717,0.00204388712045114,4.26605382144401,14.994278118412,0.02,4,15
718,6.6769058181726,47.3222088694543,200.396974118748,7,49,204
719,3.38028023989533,63.9999999999999,214.081708699947,4,65,220
720,3.116658318642,28.9364326785751,78.5267267929485,3,29,80
725,0.302371060207372,11.3,42.9488287453676,0.32,12,44
726,5.44876927561213,28.4551464359205,207.233274420795,6,29,214
727,3.84466299223232,15.5666675544956,80.0715455831427,4,16,82
728,5.35743924133243,23.5968372146563,44.7704619711594,6,24,45
729,23.8253742014472,63.2273869844046,119.114752378029,24,64,120
730,0.0461843779650106,58.6054640237553,213.386802176817,0.05,60,216
731,0.740538572361278,29.538242150236,58.9505099907668,0.99,30,60
732,14.414763483402,53.6656314599949,126.877841940965,15,54,130
733,11.7161996469225,33.0560663970624,123.826338794596,12,34,126
734,0.0208873728057302,5.4800474029385,57.0058252369209,0.04,6,58
735,0.0151019682042591,8,30.4126790306173,0.04,8,31
736,4.84306187992903,42.6007013546651,105.873556677167,5,43,108
737,1.48080383942059,20.6617396199529,81.5970636446957,2,21,83
738,0.678384186719241,45,137.884206077382,0.78,46,142
739,6.46479505545141,59.0037739973038,130.200633228417,7,60,136
740,5.97027391528079,25.1179880466258,115.29295931976,6,26,117
741,13.2352969161642,69.6940347950858,212.450223476453,14,71,217
742,0.212025257188502,46.9038708735254,113.259308184731,0.3,47,115
743,5.99054601248309,49.1421755287632,165.535606731728,7,50,170
744,0.00246775665740806,0.734381592705633,13.8616633678971,0.02,0.79,14
745,0.00382685446648278,18.6176796817033,77.6089648035982,0.02,19,79
747,43.8746416722405,197.322704809064,468.392229211954,45,200,474
748,14.2232299339153,45.942074281737,102.744427005887,15,46,104
749,12.1139771828644,53.6656314599949,150.074124870402,12,54,153
752,45.1797913446377,75.5636632778375,160.878854019913,45,76,164
753,27.30955485606,52.8706405183446,95.2815184538494,28,53,97
757,48.3763231826443,81.9214578114844,146.176120250119,49,82,149
758,38.4355934600195,89.1275875117148,190.069718176577,39,90,193
759,26.0705821363881,73.2346019192008,127.413293498162,27,74,129
760,18.1599495920348,48.2843073599895,86.539686555449,19,49,87
761,21.9943778863448,65.897820112452,129.169001949665,23,67,132
762,0.0304491146009089,26.8328157299975,69.333397521409,0.05,27,70
763,26.1240629289215,48.3419917131638,80.1348103746197,26,49,81
764,31.7008455375816,77.4631215441627,132.138429142469,32,78,135
765,19.5574561258583,44.1783135763409,90.7959957685927,20,45,93
766,2.35603935236801,27.172485882905,64.5154600259914,3,28,66
767,24.2368206205317,44.3232866527132,76.9675981793795,24,45,78
768,13.8477639208187,32.228093464988,57.9414236308453,14,32,59
769,23.2656090927631,44.4023688145038,83.3746834271257,24,45,84
770,33.4338654232077,70.9974065535523,146.701645038317,34,72,148
771,23.0838064537472,53.4462886034268,112.822736621991,23,54,114
772,24.4272695897888,49.4315053678632,94.8102060694,25,50,96
773,12.1139771828644,62.1981127007068,120.444872833235,13,63,121
774,14.924908415359,49.9676961832995,102.889283837316,15,50,104
775,11.0428001645594,38.2893177963837,115.378482718198,11,39,118
776,23.8253742014472,57.8728653571502,140.981141080134,24,58,145
777,12.0207142281638,74.0688064271521,229.429938551701,12,75,234
778,5.15273276505322,27.4972326705941,61.5511095420748,5,28,63
779,23.5818666646316,57.6746599446567,123.314292351976,24,58,125
780,33.4664484144371,65.0474941779004,100.316650789762,34,65,101
781,25.9744389159883,59.347336480469,133.345226652572,26,60,136
783,4.43093517779794,52.1939139762144,125.694094867393,5,53,127
784,13.3529856501633,26.5196222049876,48.4153057226221,14,27,49
785,16.8134312133184,51.2352602420469,123.396077264586,17,52,125
786,39.8628235014514,82.541888960467,127.509115663664,41,83,129
788,0.972733357368544,22.5,108.854136725613,1,23,113
790,20.3125177334142,53.6656314599949,100.501446757071,21,54,102
791,0.00230985457987211,8.47399226167564,32.9689753767678,0.02,9,34
792,10.8038847852774,58.0740419459851,144.71464461132,11,59,148
793,10.0480634374381,26.7119213260085,55.4633507065731,10,27,56
794,11.5986263785386,45,187.550708367886,12,46,193
795,29.723479892302,49.7642544952057,85.4738063632335,30,50,86
796,24.6329830425435,67.1941964533501,183.90077857399,25,68,187
797,14.2015030720053,59.4718917297561,120.803523378467,15,60,122
798,3.86374531569938,32.9628672468728,76.7620668116385,4,33,78
800,0.0235314831498997,21.016965485301,78.3210592939594,0.04,22,79
801,7.12223382658191,29.3918415880432,68.9848511880092,7,30,70
802,0.437638854593242,35.1180723967902,143.608807316674,0.5,36,147
803,7.4083454271836,18.8696195926681,37.8857759292569,8,19,39
806,11.0791814353726,45,126.776316698292,12,46,130
810,16.4922950924066,49.5918641702036,106.524220622342,17,50,108
811,9.97889836003455,54.4590282998889,113.094006478061,10,55,114
813,8.2403591479115,36.6754112595792,108.28054326579,9,37,111
817,0.0124613968479162,32.5793746069436,98.9791508617102,0.03,33,101
820,0.310691140166787,5.7,13.1469780246718,0.35,6,13
823,8.7515904496798,32.5951781185956,61.0638682882442,9,33,62
825,0.00587878153206153,9.78550522747469,30.0667512511068,0.02,10,30
829,3.30580127261685,26.8328157299975,126.082328657749,3,28,131
830,9.84199320566744,44.3652814979676,145.529540960721,10,45,148
831,5.29947613468641,72.7282980875254,258.450782830608,6,75,264
832,5.46927534669927,53.6656314599949,301.272998401475,6,54,259
835,8.95729996403574,47.2140997129298,163.783660127449,9,48,168
837,22.2818968779287,51.1489879163877,85.4115556321794,23,51,86
839,2.12242604666674,28.0405921560193,136.514045685364,2,29,139
841,8.09262846403129,27.4703427948799,71.804403658337,8,28,73
843,4.79033339712761,35.4827615981523,111.179056859452,5,36,116
847,6.35307083599355,36.4380186450616,85.2622379889419,7,37,86
848,4.53680090460063,31.3438176772187,119.293416742123,5,32,125
849,28.5581270882504,48.8104371108804,76.1414882292076,29,49,77
852,2.21215817467371,11.6629789691115,28.5029126184605,0.16,12,29
855,7.73336438266518,57.4265945723333,124.496742447895,9,58,126
857,33.4664484144371,68.5160757868264,117.867262890487,34,69,119
858,20.599678867142,41.5311799531676,95.5535832451377,21,42,97
859,10.9164039482505,37.5896600277112,89.1670585403905,11,38,91
860,37.9329599172396,66.4251051521653,109.958105581898,38,67,111
861,9.57379192486584,51.0835181181385,104.628328082566,10,52,106
862,16.2537523421848,45.5142036057508,89.562731512914,17,46,90
865,7.47561558438431,36.2235408482044,85.5131942101866,8,37,87
866,8.85721345292074,27.2658671664368,56.7532943201157,9,28,57
867,12.8071765844163,32.6680690829573,61.7366841877782,13,33,62
868,0.129340404144702,24.8821272476029,60.9536706515544,0.15,25,62
869,16.5217208513539,42.5705548176404,86.3922938165241,17,43,87
870,0.00165459163405301,8.61450585525828,35.8838465002318,0.02,9,36
871,14.0103690988332,31.0136492382903,53.8760667512966,14,31,54
872,0.00382685446648278,18.0717187733274,51.2230062823589,0.02,19,52
873,1.28429965142551,22.5,42.9525881904092,2,23,43
874,13.2604282964365,40.1659770049302,88.4788323555229,14,40,89
875,0.00182973821573772,12.4805340350509,47.608807933757,0.02,13,49
876,0.000941848975834195,0.0280458376972434,48.2843073599896,0.02,0.04,49
877,5.5276515198711,37.7729062685777,83.5237074557403,5,38,85
878,0.0559919429758894,32.4223650451683,54.5944512091699,0.07,33,55
879,3.01466981911676,33.4681641880476,73.3508225191583,3,34,75
880,8,53.0177757513054,112.162368624077,10,54,113
881,24.4533555915796,68.6536192582798,196.074784083513,25,69,201
882,35.2052545042158,70.2361447935803,118.790269627143,36,71,120
883,8.41081950511586,68.1278638980969,149.497995782179,9,69,151
884,44.034224517502,74.3426015428724,121.841300311466,45,75,123
885,54.3874200503887,80.5445394436321,111.965012976618,55,81,113
886,0.491901897169872,18.5894909899679,46.5476103254711,0.61,19,47
887,5.78091954761296,24.0360952797749,78.8844973194728,6,25,83
888,6.89511976436065,14.505026376903,27.7947642148631,7,15,28
889,10.545829660299,51.4321469795291,196.074784083513,11,52,201
890,21.2226870095466,74.2540341690094,166.064157235757,22,75,171
891,2.40605007216423,15.5429406159406,95.6016752574212,2,16,98
892,6.96504301476632,19.22409762603,48.7113529638559,7,19,49
893,2.39127123120264,6.75277720645366,21.4744143726838,2,7,22
894,27.7947642148631,147.537592614557,373.329067253385,29,152,378
895,9.84199320566744,83.1905952940042,290.531828090145,10,85,295
898,8.18632943210619,41.5589521434536,83.1179042869071,9,42,84
899,16.3752611609392,36.6754112595792,73.4991634005431,17,37,74
904,10.1558990451565,42.9558352486775,108.963736631575,10,44,111
905,7.58794940626912,59.8085336422574,170.223082878207,8,61,173
906,19.5289826134671,51.2704499308043,107.776941926955,20,52,109
907,1.82146107951141,18.3377056297896,60.6435966689896,2,19,62
908,31.6264949269147,90,248.109193906322,32,91,253
909,10.637276876651,30.3121347509101,50.1190188436384,11,31,51
910,10.7375756565288,18.8202744329461,30.3888839622671,11,19,31
911,8.67136153239942,23.6961468635479,55.5895284297261,9,24,57
913,7.0195134055366,30.0149561232222,101.337081099824,7,30,103
914,11.6277962851947,20.1245273093118,39.3782676984906,12,20,40
915,4.07379173780773,13.0742999341333,44.5181239941754,4,13,46
916,0.0151019682042591,46.7465469876451,93.9327700206805,0.04,47,95
917,25.2680541613576,91.5222470190572,326.89172406438,26,93,330
918,24.5230545354232,101.007248195182,365.603483054531,26,102,370
